song_id,track_id,song_name,danceability,duration,energy,loudness
'SOGSOUE12A58A76443','TRARRPG12903CD1DE9','Zip-A-Dee-Doo-Dah (Song of the South)',0.0,199.99302,0.0,-16.477
'SOVVDCO12AB0187AF7','TRARRER128F9328521','Liquid Time (composition by John Goodsall)',0.0,279.35302,0.0,-12.474
'SOZQSGL12AF72A9145','TRARREF128F422FD96','Halloween',0.0,216.842,0.0,-4.264
'SOBTEHX12A6D4FBF18','TRARRQO128F427B5F5','You Eclipsed By Me (Album Version)',0.0,218.90567,0.0,-4.707
'SOXGDVW12AB01864E7','TRARRMK12903CDF793','Shovel',0.0,580.70159,0.0,-4.523
'SOZKFHV12A6D4F996F','TRARIRG128F147FC96',b"I'm Not Moving",0.0,154.93179,0.0,-15.433
'SOPVMQT12A679C8040','TRARIWH128E079349F','Columbia',0.0,324.80608,0.0,-7.588
'SOIAZJL12A6D4F854E','TRARIIY128F147187D','Radar For Love',0.0,241.08363,0.0,-8.021
'SOCPFDY12AB018300D','TRARIZK128F92FF27A','Antarctica Starts Here',0.0,199.96689,0.0,-20.172
'SOVOTBC12A6D4F696A','TRARINE128F4280B9C','Out In The Street (Live) (2008 Digital Remaster)',0.0,314.17424,0.0,-6.763
'SOOQCOC12A8C132A5A','TRARIMP128F933D217','Heavy On My Mind (Album Version)',0.0,319.84281,0.0,-4.325
'SOQYSAU12AB018263A','TRARIKA128F9335A8C','Everyone make love',0.0,234.762,0.0,-5.976
'SOKLGLN12A8C13D204','TRARNCP128F42AB2B0','Calm Da Seas',0.0,258.16771,0.0,-5.193
'SOMMPRY12A8C131C5C','TRARNJN12903CE49F8','Ran Kan Kan',0.0,191.63383,0.0,-5.648
'SOMGMSS12A8C13492A','TRARNZA128F424EC6A','Rainbow Country (Red Gold And Green Version)',0.0,258.29832,0.0,-5.308
'SOMAFQT12A8AE47E8D','TRARNBZ128F4238CF7','Strange Things',0.0,158.1971,0.0,-6.712
'SOOOCMS12A8C1413F3','TRARNMW128F92DE2D4','Dholna Dholna',0.0,376.16281,0.0,-12.746
'SOHJXBB12A8C1437B7','TRARGZR128F92E28D6','Parchman Farm',0.0,461.71383,0.0,-9.989
