artist_id,song_id
AREJXK41187B9A4ACC,TRARRZU128F4253CA2
ARODOO01187FB44F4A,TRARRUZ128F9307C57
ARDPTGD1187B9AD361,TRARRER128F9328521
ARV8T9T1187B99F3F4,TRARRYC128F428CCDA
ARJ5BEW1187FB52361,TRARROY128F42281F7
AR8KUS11187B98C991,TRARRVB128F92F47CA
ARK8OHG1187B99016A,TRARUOP12903CF2384
ARZFRQM1187B9A9772,TRARURM128F931A91B
ARQUMH41187B9AF699,TRARUTP128E0797FC7
ARWNTXK11EBCD7BBFB,TRARITF12903CE7DA9
AR7SVRP1187FB55875,TRARIGL128F422B9CE
ARUI8651187B9ACF52,TRARIZK128F92FF27A
ARXJSHW1187B9A2A52,TRARNJN12903CE49F8
ARCT5P61187FB3D950,TRARNAS128EF355915
ARSQFIK11F50C4D038,TRARNIL12903C9A9C8
AR7OCK81187B98D1F1,TRARNKQ12903CE7299
ARAZCWP129462A97F1,TRARNZA128F424EC6A
ARCLJQZ11E2835CE37,TRARNZV128F930CDFB
ARBY23A1187B9A82E4,TRARNMW128F92DE2D4
ARBNXYA1187FB51C50,TRARGBM128F428F65E
ARRLCY71187B9A0FC6,TRARZIV128F147AADB
ARM7UY51187B993E17,TRARZBQ128F42649A6
ARZS5VW1187FB567E8,TRARZBX12903CD70DA
ARX0X2D1187B99F515,TRARZBR128F934715D
ARDVZTE1187FB5A0A1,TRARTJL128F92CB44B
ARRH2S81187B98C8AA,TRARTSA128F4291550
AR243ZT1187B9A98D2,TRARTCZ128F427A176
AR6QQY41187B990574,TRARTGG128F424ABCD
AR23F7J1187B9A550F,TRARTME12903CE0253
ARNLO5S1187B9B80CC,TRARTEH128F4280823
ARDNS031187B9924F0,TRARTAR128F145F235
ARUACR61187FB3AB37,TRARTHV128F429B77A
AROJAG11187B9B71A3,TRARTYI128F427E74C
AREMHJX1187FB41DAB,TRARTIV128F92F87F0
ARLUAK21187B9B785A,TRARSMV128F1469CCF
ARVJ6541187B9A4C3E,TRARSAM128F4256E04
ARP23RL1187FB497FE,TRARSFU12903CB2669
ARPHH7Z1187B9B6A3A,TRARSLP12903CE2AA6
AR03BDP1187FB5B324,TRARSKA128F9336A04
ARRM70G1187B9A7F64,TRARSZV12903CDB2DE
ARU4JBP1187B99263F,TRARSAW12903C9EDEB
AREZMPH11F4C83B364,TRARALS128F934F7C1
ARPTHEV123E29C17B3,TRARAKX12903CBADE2
ARLIIVS1187FB5583B,TRARAAG128F42437FB
ARU3YYC1187FB43FEE,TRARAZI128F427F3B4
AR3YBMD1187B99F15C,TRARAGQ12903CB6892
ARZWK2R1187B98F09F,TRARANL128F1478789
AR77FBJ1187FB49D8D,TRARAHB128F428928E
ARA6H4G1187B99E2F2,TRARATE128F92FE56A
AR5FP401187FB523C9,TRARAEG128F42647B2
ARS0W831187B9AF0B7,TRARFWJ128F9339D70
ARMRCET1187FB52049,TRARFQL128F931E523
ARYLSGC11F43A69EF6,TRARFAV128F428B7B2
AR2O84Q1187FB5BF74,TRARFKP12903CF5DF1
ARVBXZ01187B997092,TRARFTH128F93052CF
ARS1DCR1187B9A4A56,TRARFLF128F425B49B
ARSZX2G1187B98FCCF,TRARFAZ128F93481AD
AR502DZ1187B98F8E1,TRARFCT12903CD3545
ARH9NBO1187FB43904,TRAROQL128F92F7E7D
ARZEBW31187FB586EA,TRAROSP128F1487270
ARG53231187FB3982D,TRARODV128F1460DBC
ARGEZ5E1187FB56F38,TRARHLY128F42698CA
ARR7YYN1187FB5C015,TRARHFV128F92E0ECE
ARJ3TAF1187FB4AAB1,TRARHXX128F93477A0
ARFUSID1241B9C9462,TRARMNI128F9336EF9
ARKPDBH1242077DEB1,TRARMUY12903D02555
ARWENXU12454A2DE56,TRARMLZ128F9330684
AROPU0111C8A414FF6,TRARMPI12903CCE6BD
ARZ8KO81187B9B1B7C,TRARMZO128F93362A2
AR7TTCH1187FB3F95C,TRARMUZ128F14AA0EA
ARBMHBC11F4C8403A2,TRARMPK128F9302164
ARCII0J1187FB3A1B4,TRARMFD128F4231386
ARMMKRK1187B996E31,TRARMDJ128F931F980
AR8U8G41187B9A833B,TRARMRC128F424317A
ARJG2ID1187B9A767E,TRARMUI128F147162F
ARANOZN1187B9B373E,TRARMHA128F92E7D32
ARHN74X1187B98D79F,TRARJMX128F149BE14
ARI4S0E1187B9B06C0,TRARJEM128F92E444D
ARXGASQ1187FB3C727,TRARJKN128F92F6CF8
ARTQ0WY1187B98A7B0,TRARCMH12903CB8E8B
