title,artists,entry_1,weeks_1
"""Shape of You""","Ed Sheeran
","1
 2017",1
"""Despacito""","Luis Fonsi and Daddy Yankee featuring Justin Bieber
","2
 2017",1
"""That's What I Like""","Bruno Mars
","3
 2017",1
"""HUMBLE.""","Kendrick Lamar
","4
 2017",1
"""Something Just Like This""","The Chainsmokers and Coldplay
","5
 2017",1
"""Bad and Boujee""","Migos featuring Lil Uzi Vert
","6
 2017",1
"""Closer""","The Chainsmokers featuring Halsey
","7
 2017",1
"""Body Like a Back Road""","Sam Hunt
","8
 2017",1
"""Believer""","Imagine Dragons
","9
 2017",1
"""Congratulations""","Post Malone featuring Quavo
","10
 2017",1
"""Say You Won't Let Go""","James Arthur
","11
 2017",1
"""I'm the One""","DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne
","12
 2017",1
"""XO Tour Llif3""","Lil Uzi Vert
","13
 2017",1
"""Mask Off""","Future
","14
 2017",1
"""Unforgettable""","French Montana featuring Swae Lee
","15
 2017",1
"""24K Magic""","Bruno Mars
","16
 2017",1
"""Stay""","Zedd and Alessia Cara
","17
 2017",1
"""Wild Thoughts""","DJ Khaled featuring Rihanna and Bryson Tiller
","18
 2017",1
"""Black Beatles""","Rae Sremmurd featuring Gucci Mane
","19
 2017",1
"""Starboy""","The Weeknd featuring Daft Punk
","20
 2017",1
"""Location""","Khalid
","21
 2017",1
"""Attention""","Charlie Puth
","22
 2017",1
"""There's Nothing Holdin' Me Back""","Shawn Mendes
","23
 2017",1
"""Bodak Yellow (Money Moves)""","Cardi B
","24
 2017",1
"""Redbone""","Childish Gambino
","25
 2017",1
"""I Don't Wanna Live Forever""","Zayn and Taylor Swift
","26
 2017",1
"""It Ain't Me""","Kygo and Selena Gomez
","27
 2017",1
"""iSpy""","Kyle featuring Lil Yachty
","28
 2017",1
"""Issues""","Julia Michaels
","29
 2017",1
"""Scars to Your Beautiful""","Alessia Cara
","30
 2017",1
"""1-800-273-8255""","Logic featuring Alessia Cara and Khalid
","31
 2017",1
"""Slow Hands""","Niall Horan
","32
 2017",1
"""Love on the Brain""","Rihanna
","33
 2017",1
"""I Feel It Coming""","The Weeknd featuring Daft Punk
","34
 2017",1
"""Bounce Back""","Big Sean
","35
 2017",1
"""Strip That Down""","Liam Payne featuring Quavo
","36
 2017",1
"""Fake Love""","Drake
","37
 2017",1
"""Don't Wanna Know""","Maroon 5 featuring Kendrick Lamar
","38
 2017",1
"""Look What You Made Me Do""","Taylor Swift
","39
 2017",1
"""Castle on the Hill""","Ed Sheeran
","40
 2017",1
"""Bad Things""","Machine Gun Kelly and Camila Cabello
","41
 2017",1
"""Paris""","The Chainsmokers
","42
 2017",1
"""Side to Side""","Ariana Grande featuring Nicki Minaj
","43
 2017",1
"""Rockabye""","Clean Bandit featuring Sean Paul and Anne-Marie
","44
 2017",1
"""Feel It Still""","Portugal. The Man
","45
 2017",1
"""Let Me Love You""","DJ Snake featuring Justin Bieber
","46
 2017",1
"""Sorry Not Sorry""","Demi Lovato
","47
 2017",1
"""Bank Account""","21 Savage
","48
 2017",1
"""Can't Stop the Feeling!""","Justin Timberlake
","49
 2017",1
